
***** Pokemon Tree and Heap *****
* 0. QUIT                       *
* 1. Read a file to build BST   *
* 2. Transform it into Max Heap *
*********************************
Input a choice(0, 1, 2): 
Input a file number [0: quit]: 	#	Name                    	Type 1    	HP	Attack	Defense
[106]	306	Aggron                  	Steel     	70    	110	180
[107]	307	Meditite                	Fighting  	30    	40	55
[108]	308	Medicham                	Fighting  	60    	60	75
[109]	309	Electrike               	Electric  	40    	45	40
[110]	310	Manectric               	Electric  	70    	75	60
[111]	311	Plusle                  	Electric  	60    	50	40
[112]	312	Minun                   	Electric  	60    	40	50
[113]	313	Volbeat                 	Bug       	65    	73	55
[114]	314	Illumise                	Bug       	65    	47	55
[115]	315	Roselia                 	Grass     	50    	60	45
[116]	316	Gulpin                  	Poison    	70    	43	53
[117]	317	Swalot                  	Poison    	100   	73	83
[118]	318	Carvanha                	Water     	45    	90	20
[119]	319	Sharpedo                	Water     	70    	120	40
[120]	320	Wailmer                 	Water     	130   	70	35
[121]	321	Wailord                 	Water     	170   	90	45
[122]	322	Numel                   	Fire      	60    	60	40
[123]	323	Camerupt                	Fire      	70    	100	70
[124]	324	Torkoal                 	Fire      	70    	85	140
[125]	325	Spoink                  	Psychic   	60    	25	35
[126]	326	Grumpig                 	Psychic   	80    	45	65
[127]	327	Spinda                  	Normal    	60    	60	60
[128]	328	Trapinch                	Ground    	45    	100	45
[129]	329	Vibrava                 	Ground    	50    	70	50
[130]	330	Flygon                  	Ground    	80    	100	80
[131]	331	Cacnea                  	Grass     	50    	85	40
[132]	332	Cacturne                	Grass     	70    	115	60
[133]	333	Swablu                  	Normal    	45    	40	60
[134]	334	Altaria                 	Dragon    	75    	70	90
[135]	335	Zangoose                	Normal    	73    	115	60
[136]	336	Seviper                 	Poison    	73    	100	60
[137]	337	Lunatone                	Rock      	70    	55	65
[138]	338	Solrock                 	Rock      	70    	95	85
[139]	339	Barboach                	Water     	50    	48	43
[140]	340	Whiscash                	Water     	110   	78	73
[141]	341	Corphish                	Water     	43    	80	65
[142]	342	Crawdaunt               	Water     	63    	120	85
[143]	343	Baltoy                  	Ground    	40    	40	55
[144]	344	Claydol                 	Ground    	60    	70	105
[145]	345	Lileep                  	Rock      	66    	41	77
[146]	346	Cradily                 	Rock      	86    	81	97
[147]	347	Anorith                 	Rock      	45    	95	50
[148]	348	Armaldo                 	Rock      	75    	125	100
[149]	349	Feebas                  	Water     	20    	15	20
[150]	350	Milotic                 	Water     	95    	60	79
[151]	351	Castform                	Normal    	70    	70	70
[152]	352	Kecleon                 	Normal    	60    	90	70
[153]	353	Shuppet                 	Ghost     	44    	75	35
[154]	354	Banette                 	Ghost     	64    	115	65
[155]	355	Duskull                 	Ghost     	20    	40	90
[156]	356	Dusclops                	Ghost     	40    	70	130
[157]	357	Tropius                 	Grass     	99    	68	83
[158]	358	Chimecho                	Psychic   	65    	50	70
[159]	359	Absol                   	Dark      	65    	130	60
[160]	360	Wynaut                  	Psychic   	95    	23	48
[161]	361	Snorunt                 	Ice       	50    	50	50
[162]	362	Glalie                  	Ice       	80    	80	80
[163]	363	Spheal                  	Ice       	70    	40	50
[164]	364	Sealeo                  	Ice       	90    	60	70
[165]	365	Walrein                 	Ice       	110   	80	90
[166]	366	Clamperl                	Water     	35    	64	85
[167]	367	Huntail                 	Water     	55    	104	105
[168]	368	Gorebyss                	Water     	55    	84	105
[169]	369	Relicanth               	Water     	100   	90	130
[170]	370	Luvdisc                 	Water     	43    	30	55
[171]	371	Bagon                   	Dragon    	45    	75	60
[172]	372	Shelgon                 	Dragon    	65    	95	100
[173]	373	Salamence               	Dragon    	95    	135	80
[174]	374	Beldum                  	Steel     	40    	55	80
[175]	375	Metang                  	Steel     	60    	75	100
[176]	376	Metagross               	Steel     	80    	135	130
[177]	377	Regirock                	Rock      	80    	100	200
[178]	378	Regice                  	Ice       	80    	50	100
[179]	379	Registeel               	Steel     	80    	75	150
[180]	380	Latias                  	Dragon    	80    	80	90
[181]	381	Latios                  	Dragon    	80    	90	80
[182]	382	Kyogre                  	Water     	100   	100	90
[183]	383	Groudon                 	Ground    	100   	150	140
[184]	384	Rayquaza                	Dragon    	105   	150	90
[185]	385	Jirachi                 	Steel     	100   	100	100
[186]	386	DeoxysNormal Forme      	Psychic   	50    	150	50
[187]	387	Turtwig                 	Grass     	55    	68	64
[188]	388	Grotle                  	Grass     	75    	89	85
[189]	389	Torterra                	Grass     	95    	109	105
[190]	390	Chimchar                	Fire      	44    	58	44
[191]	391	Monferno                	Fire      	64    	78	52
[192]	392	Infernape               	Fire      	76    	104	71
[193]	393	Piplup                  	Water     	53    	51	53
[194]	394	Prinplup                	Water     	64    	66	68
[195]	395	Empoleon                	Water     	84    	86	88
[196]	396	Starly                  	Normal    	40    	55	30
[197]	397	Staravia                	Normal    	55    	75	50
[198]	398	Staraptor               	Normal    	85    	120	70
[199]	399	Bidoof                  	Normal    	59    	45	40
[200]	400	Bibarel                 	Normal    	79    	85	60
[201]	401	Kricketot               	Bug       	37    	25	41
[202]	402	Kricketune              	Bug       	77    	85	51
[203]	403	Shinx                   	Electric  	45    	65	34
[204]	404	Luxio                   	Electric  	60    	85	49
[205]	405	Luxray                  	Electric  	80    	120	79
[206]	406	Budew                   	Grass     	40    	30	35
[207]	407	Roserade                	Grass     	60    	70	65
[208]	408	Cranidos                	Rock      	67    	125	40
[209]	409	Rampardos               	Rock      	97    	165	60
[210]	410	Shieldon                	Rock      	30    	42	118
[211]	411	Bastiodon               	Rock      	60    	52	168
[212]	412	Burmy                   	Bug       	40    	29	45
[213]	413	WormadamPlant Cloak     	Bug       	60    	59	85
[214]	414	Mothim                  	Bug       	70    	94	50
[215]	415	Combee                  	Bug       	30    	30	42
[216]	416	Vespiquen               	Bug       	70    	80	102
[217]	417	Pachirisu               	Electric  	60    	45	70
[218]	418	Buizel                  	Water     	55    	65	35
[219]	419	Floatzel                	Water     	85    	105	55
[220]	420	Cherubi                 	Grass     	45    	35	45
[221]	421	Cherrim                 	Grass     	70    	60	70
[222]	422	Shellos                 	Water     	76    	48	48
[223]	423	Gastrodon               	Water     	111   	83	68
[224]	424	Ambipom                 	Normal    	75    	100	66
[225]	425	Drifloon                	Ghost     	90    	50	34
[226]	426	Drifblim                	Ghost     	150   	80	44
[227]	427	Buneary                 	Normal    	55    	66	44
[228]	428	Lopunny                 	Normal    	65    	76	84
[229]	429	Mismagius               	Ghost     	60    	60	60
[230]	430	Honchkrow               	Dark      	100   	125	52
[231]	431	Glameow                 	Normal    	49    	55	42
[232]	432	Purugly                 	Normal    	71    	82	64
[233]	433	Chingling               	Psychic   	45    	30	50
[234]	434	Stunky                  	Poison    	63    	63	47
[235]	435	Skuntank                	Poison    	103   	93	67
[236]	436	Bronzor                 	Steel     	57    	24	86
[237]	437	Bronzong                	Steel     	67    	89	116
[238]	438	Bonsly                  	Rock      	50    	80	95
[239]	439	Mime Jr.                	Psychic   	20    	25	45
[240]	440	Happiny                 	Normal    	100   	5	5
[241]	441	Chatot                  	Normal    	76    	65	45
[242]	442	Spiritomb               	Ghost     	50    	92	108
[243]	443	Gible                   	Dragon    	58    	70	45
[244]	444	Gabite                  	Dragon    	68    	90	65
[245]	445	Garchomp                	Dragon    	108   	130	95
[246]	446	Munchlax                	Normal    	135   	85	40
[247]	447	Riolu                   	Fighting  	40    	70	40
[248]	448	Lucario                 	Fighting  	70    	110	70
[249]	449	Hippopotas              	Ground    	68    	72	78
[250]	450	Hippowdon               	Ground    	108   	112	118
[251]	451	Skorupi                 	Poison    	40    	50	90
[252]	452	Drapion                 	Poison    	70    	90	110
[253]	453	Croagunk                	Poison    	48    	61	40
[254]	454	Toxicroak               	Poison    	83    	106	65
[255]	455	Carnivine               	Grass     	74    	100	72
[256]	456	Finneon                 	Water     	49    	49	56
[257]	457	Lumineon                	Water     	69    	69	76
[258]	458	Mantyke                 	Water     	45    	20	50
[259]	459	Snover                  	Grass     	60    	62	50
[260]	460	Abomasnow               	Grass     	90    	92	75
[261]	461	Weavile                 	Dark      	70    	120	65
[262]	462	Magnezone               	Electric  	70    	70	115
[263]	463	Lickilicky              	Normal    	110   	85	95
[264]	464	Rhyperior               	Ground    	115   	140	130
[265]	465	Tangrowth               	Grass     	100   	100	125
[266]	466	Electivire              	Electric  	75    	123	67
[267]	467	Magmortar               	Fire      	75    	95	67
[268]	468	Togekiss                	Fairy     	85    	50	95
[269]	469	Yanmega                 	Bug       	86    	76	86
[270]	470	Leafeon                 	Grass     	65    	110	130
[271]	471	Glaceon                 	Ice       	65    	60	110
[272]	472	Gliscor                 	Ground    	75    	95	125
[273]	473	Mamoswine               	Ice       	110   	130	80
[274]	474	Porygon-Z               	Normal    	85    	80	70
[275]	475	Gallade                 	Psychic   	68    	125	65
[276]	476	Probopass               	Rock      	60    	55	145
[277]	477	Dusknoir                	Ghost     	45    	100	135
[278]	478	Froslass                	Ice       	70    	80	70
[279]	479	Rotom                   	Electric  	50    	50	77
[280]	480	Uxie                    	Psychic   	75    	75	130
[281]	481	Mesprit                 	Psychic   	80    	105	105
[282]	482	Azelf                   	Psychic   	75    	125	70
[283]	483	Dialga                  	Steel     	100   	120	120
[284]	484	Palkia                  	Water     	90    	120	100
[285]	485	Heatran                 	Fire      	91    	90	106
[286]	486	Regigigas               	Normal    	110   	160	110
[287]	487	GiratinaAltered Forme   	Ghost     	150   	100	120
[288]	488	Cresselia               	Psychic   	120   	70	120
[289]	489	Phione                  	Water     	80    	80	80
[290]	490	Manaphy                 	Water     	100   	100	100
[291]	491	Darkrai                 	Dark      	70    	90	90
[292]	492	ShayminLand Forme       	Grass     	100   	100	100
[293]	493	Arceus                  	Normal    	120   	120	120
[294]	494	Victini                 	Psychic   	100   	100	100
[295]	495	Snivy                   	Grass     	45    	45	55
[296]	496	Servine                 	Grass     	60    	60	75
[297]	497	Serperior               	Grass     	75    	75	95
[298]	498	Tepig                   	Fire      	65    	63	45
[299]	499	Pignite                 	Fire      	90    	93	55
[300]	500	Emboar                  	Fire      	110   	123	65
[301]	501	Oshawott                	Water     	55    	55	45
[302]	502	Dewott                  	Water     	75    	75	60
[303]	503	Samurott                	Water     	95    	100	85
[304]	504	Patrat                  	Normal    	45    	55	39
[305]	505	Watchog                 	Normal    	60    	85	69
[306]	506	Lillipup                	Normal    	45    	60	45
[307]	507	Herdier                 	Normal    	65    	80	65
[308]	508	Stoutland               	Normal    	85    	110	90
[309]	509	Purrloin                	Dark      	41    	50	37
[310]	510	Liepard                 	Dark      	64    	88	50
[311]	511	Pansage                 	Grass     	50    	53	48
[312]	512	Simisage                	Grass     	75    	98	63
[313]	513	Pansear                 	Fire      	50    	53	48
[314]	514	Simisear                	Fire      	75    	98	63
[315]	515	Panpour                 	Water     	50    	53	48
[316]	516	Simipour                	Water     	75    	98	63
[317]	517	Munna                   	Psychic   	76    	25	45
[318]	518	Musharna                	Psychic   	116   	55	85
[319]	519	Pidove                  	Normal    	50    	55	50
[320]	520	Tranquill               	Normal    	62    	77	62
[321]	521	Unfezant                	Normal    	80    	115	80
[322]	522	Blitzle                 	Electric  	45    	60	32
[323]	523	Zebstrika               	Electric  	75    	100	63
[324]	524	Roggenrola              	Rock      	55    	75	85
[325]	525	Boldore                 	Rock      	70    	105	105
[326]	526	Gigalith                	Rock      	85    	135	130
[327]	527	Woobat                  	Psychic   	55    	45	43
[328]	528	Swoobat                 	Psychic   	67    	57	55
[329]	529	Drilbur                 	Ground    	60    	85	40
[330]	530	Excadrill               	Ground    	110   	135	60
[331]	531	Audino                  	Normal    	103   	60	86
[332]	532	Timburr                 	Fighting  	75    	80	55
[333]	533	Gurdurr                 	Fighting  	85    	105	85
[334]	534	Conkeldurr              	Fighting  	105   	140	95
[335]	535	Tympole                 	Water     	50    	50	40
[336]	536	Palpitoad               	Water     	75    	65	55
[337]	537	Seismitoad              	Water     	105   	95	75
[338]	538	Throh                   	Fighting  	120   	100	85
[339]	539	Sawk                    	Fighting  	75    	125	75
[340]	540	Sewaddle                	Bug       	45    	53	70
[341]	541	Swadloon                	Bug       	55    	63	90
[342]	542	Leavanny                	Bug       	75    	103	80
[343]	543	Venipede                	Bug       	30    	45	59
[344]	544	Whirlipede              	Bug       	40    	55	99
[345]	545	Scolipede               	Bug       	60    	100	89
[346]	546	Cottonee                	Grass     	40    	27	60
[347]	547	Whimsicott              	Grass     	60    	67	85
[348]	548	Petilil                 	Grass     	45    	35	50
[349]	549	Lilligant               	Grass     	70    	60	75
[350]	550	Basculin                	Water     	70    	92	65
[351]	551	Sandile                 	Ground    	50    	72	35
[352]	552	Krokorok                	Ground    	60    	82	45
[353]	553	Krookodile              	Ground    	95    	117	80
[354]	554	Darumaka                	Fire      	70    	90	45
[355]	555	DarmanitanStandard Mode 	Fire      	105   	140	55
[356]	556	Maractus                	Grass     	75    	86	67
[357]	557	Dwebble                 	Bug       	50    	65	85
[358]	558	Crustle                 	Bug       	70    	95	125
[359]	559	Scraggy                 	Dark      	50    	75	70
[360]	560	Scrafty                 	Dark      	65    	90	115
[361]	561	Sigilyph                	Psychic   	72    	58	80
[362]	562	Yamask                  	Ghost     	38    	30	85
[363]	563	Cofagrigus              	Ghost     	58    	50	145
[364]	564	Tirtouga                	Water     	54    	78	103
[365]	565	Carracosta              	Water     	74    	108	133
[366]	566	Archen                  	Rock      	55    	112	45
[367]	567	Archeops                	Rock      	75    	140	65
[368]	568	Trubbish                	Poison    	50    	50	62
[369]	569	Garbodor                	Poison    	80    	95	82
[370]	570	Zorua                   	Dark      	40    	65	40
[371]	571	Zoroark                 	Dark      	60    	105	60
[372]	572	Minccino                	Normal    	55    	50	40
[373]	573	Cinccino                	Normal    	75    	95	60
[374]	574	Gothita                 	Psychic   	45    	30	50
[375]	575	Gothorita               	Psychic   	60    	45	70
[376]	576	Gothitelle              	Psychic   	70    	55	95
[377]	577	Solosis                 	Psychic   	45    	30	40
[378]	578	Duosion                 	Psychic   	65    	40	50
[379]	579	Reuniclus               	Psychic   	110   	65	75
[380]	580	Ducklett                	Water     	62    	44	50
[381]	581	Swanna                  	Water     	75    	87	63
[382]	582	Vanillite               	Ice       	36    	50	50
[383]	583	Vanillish               	Ice       	51    	65	65
[384]	584	Vanilluxe               	Ice       	71    	95	85
[385]	585	Deerling                	Normal    	60    	60	50
[386]	586	Sawsbuck                	Normal    	80    	100	70
[387]	587	Emolga                  	Electric  	55    	75	60
[388]	588	Karrablast              	Bug       	50    	75	45
[389]	589	Escavalier              	Bug       	70    	135	105
[390]	590	Foongus                 	Grass     	69    	55	45
[391]	591	Amoonguss               	Grass     	114   	85	70
[392]	592	Frillish                	Water     	55    	40	50
[393]	593	Jellicent               	Water     	100   	60	70
[394]	594	Alomomola               	Water     	165   	75	80
[395]	595	Joltik                  	Bug       	50    	47	50
[396]	596	Galvantula              	Bug       	70    	77	60
[397]	597	Ferroseed               	Grass     	44    	50	91
[398]	598	Ferrothorn              	Grass     	74    	94	131
[399]	599	Klink                   	Steel     	40    	55	70
[400]	600	Klang                   	Steel     	60    	80	95
[401]	601	Klinklang               	Steel     	60    	100	115
[402]	602	Tynamo                  	Electric  	35    	55	40
[403]	603	Eelektrik               	Electric  	65    	85	70
[404]	604	Eelektross              	Electric  	85    	115	80
[405]	605	Elgyem                  	Psychic   	55    	55	55
[406]	606	Beheeyem                	Psychic   	75    	75	75
[407]	607	Litwick                 	Ghost     	50    	30	55
[408]	608	Lampent                 	Ghost     	60    	40	60
[409]	609	Chandelure              	Ghost     	60    	55	90
[410]	610	Axew                    	Dragon    	46    	87	60
[411]	611	Fraxure                 	Dragon    	66    	117	70
[412]	612	Haxorus                 	Dragon    	76    	147	90
[413]	613	Cubchoo                 	Ice       	55    	70	40
[414]	614	Beartic                 	Ice       	95    	110	80
[415]	615	Cryogonal               	Ice       	70    	50	30
[416]	616	Shelmet                 	Bug       	50    	40	85
[417]	617	Accelgor                	Bug       	80    	70	40
[418]	618	Stunfisk                	Ground    	109   	66	84
[419]	619	Mienfoo                 	Fighting  	45    	85	50
[420]	620	Mienshao                	Fighting  	65    	125	60
[421]	621	Druddigon               	Dragon    	77    	120	90
[422]	622	Golett                  	Ground    	59    	74	50
[423]	623	Golurk                  	Ground    	89    	124	80
[424]	624	Pawniard                	Dark      	45    	85	70
[425]	625	Bisharp                 	Dark      	65    	125	100
[426]	626	Bouffalant              	Normal    	95    	110	95
[427]	627	Rufflet                 	Normal    	70    	83	50
[428]	628	Braviary                	Normal    	100   	123	75
[429]	629	Vullaby                 	Dark      	70    	55	75
[430]	630	Mandibuzz               	Dark      	110   	65	105
[431]	631	Heatmor                 	Fire      	85    	97	66
[432]	632	Durant                  	Bug       	58    	109	112
[433]	633	Deino                   	Dark      	52    	65	50
[434]	634	Zweilous                	Dark      	72    	85	70
[435]	635	Hydreigon               	Dark      	92    	105	90
[436]	636	Larvesta                	Bug       	55    	85	55
[437]	637	Volcarona               	Bug       	85    	60	65
[438]	638	Cobalion                	Steel     	91    	90	129
[439]	639	Terrakion               	Rock      	91    	129	90
[440]	640	Virizion                	Grass     	91    	90	72
[441]	641	TornadusIncarnate Forme 	Flying    	79    	115	70
[442]	642	ThundurusIncarnate Forme	Electric  	79    	115	70
[443]	643	Reshiram                	Dragon    	100   	120	100
[444]	644	Zekrom                  	Dragon    	100   	150	120
[445]	645	LandorusIncarnate Forme 	Ground    	89    	125	90
[446]	646	Kyurem                  	Dragon    	125   	130	90
[447]	647	KeldeoOrdinary Forme    	Water     	91    	72	90
[448]	648	MeloettaAria Forme      	Normal    	100   	77	77
[449]	649	Genesect                	Bug       	71    	120	95
[450]	650	Chespin                 	Grass     	56    	61	65
[451]	651	Quilladin               	Grass     	61    	78	95
[452]	652	Chesnaught              	Grass     	88    	107	122
[453]	653	Fennekin                	Fire      	40    	45	40
[454]	654	Braixen                 	Fire      	59    	59	58
[455]	655	Delphox                 	Fire      	75    	69	72
[456]	656	Froakie                 	Water     	41    	56	40
[457]	657	Frogadier               	Water     	54    	63	52
[458]	658	Greninja                	Water     	72    	95	67
[459]	659	Bunnelby                	Normal    	38    	36	38
[460]	660	Diggersby               	Normal    	85    	56	77
[461]	661	Fletchling              	Normal    	45    	50	43
[462]	662	Fletchinder             	Fire      	62    	73	55
[463]	663	Talonflame              	Fire      	78    	81	71
[464]	664	Scatterbug              	Bug       	38    	35	40
[465]	665	Spewpa                  	Bug       	45    	22	60
[466]	666	Vivillon                	Bug       	80    	52	50
[467]	667	Litleo                  	Fire      	62    	50	58
[468]	668	Pyroar                  	Fire      	86    	68	72
[469]	669	Flab̩b̩               	Fairy     	44    	38	39
[470]	670	Floette                 	Fairy     	54    	45	47
[471]	671	Florges                 	Fairy     	78    	65	68
[472]	672	Skiddo                  	Grass     	66    	65	48
[473]	673	Gogoat                  	Grass     	123   	100	62
[474]	674	Pancham                 	Fighting  	67    	82	62
[475]	675	Pangoro                 	Fighting  	95    	124	78
[476]	676	Furfrou                 	Normal    	75    	80	60
[477]	677	Espurr                  	Psychic   	62    	48	54
[478]	678	MeowsticMale            	Psychic   	74    	48	76
[479]	679	Honedge                 	Steel     	45    	80	100
[480]	680	Doublade                	Steel     	59    	110	150
[481]	681	AegislashBlade Forme    	Steel     	60    	150	50
[482]	682	Spritzee                	Fairy     	78    	52	60
[483]	683	Aromatisse              	Fairy     	101   	72	72
[484]	684	Swirlix                 	Fairy     	62    	48	66
[485]	685	Slurpuff                	Fairy     	82    	80	86
[486]	686	Inkay                   	Dark      	53    	54	53
[487]	687	Malamar                 	Dark      	86    	92	88
[488]	688	Binacle                 	Rock      	42    	52	67
[489]	689	Barbaracle              	Rock      	72    	105	115
[490]	690	Skrelp                  	Poison    	50    	60	60
[491]	691	Dragalge                	Poison    	65    	75	90
[492]	692	Clauncher               	Water     	50    	53	62
[493]	693	Clawitzer               	Water     	71    	73	88
[494]	694	Helioptile              	Electric  	44    	38	33
[495]	695	Heliolisk               	Electric  	62    	55	52
[496]	696	Tyrunt                  	Rock      	58    	89	77
[497]	697	Tyrantrum               	Rock      	82    	121	119
[498]	698	Amaura                  	Rock      	77    	59	50
[499]	699	Aurorus                 	Rock      	123   	77	72
[500]	700	Sylveon                 	Fairy     	255   	65	65
HP tree height = 12
Leftmost node: 
[1]	201	Unown                   	Psychic   	1     	72	48
[92]	292	Shedinja                	Bug       	1     	90	45
Rightmost node: 
[42]	242	Blissey                 	Normal    	255   	10	10
[500]	700	Sylveon                 	Fairy     	255   	65	65

***** Pokemon Tree and Heap *****
* 0. QUIT                       *
* 1. Read a file to build BST   *
* 2. Transform it into Max Heap *
*********************************
Input a choice(0, 1, 2): 
Input a file number [0: quit]: 	#	Name                    	Type 1    	HP	Attack	Defense
[ 1]	101	Electrode               	Electric  	1     	50	70
[ 2]	102	Exeggcute               	Grass     	60    	40	80
[ 3]	103	Exeggutor               	Grass     	95    	95	85
[ 4]	104	Cubone                  	Ground    	50    	50	95
[ 5]	105	Marowak                 	Ground    	60    	80	110
[ 6]	106	Hitmonlee               	Fighting  	50    	120	53
[ 7]	107	Hitmonchan              	Fighting  	50    	105	79
[ 8]	108	Lickitung               	Normal    	90    	55	75
[ 9]	109	Koffing                 	Poison    	40    	65	95
[10]	110	Weezing                 	Poison    	65    	90	120
[11]	111	Rhyhorn                 	Ground    	80    	85	95
[12]	112	Rhydon                  	Ground    	105   	130	120
[13]	113	Chansey                 	Normal    	250   	5	5
[14]	114	Tangela                 	Grass     	65    	55	115
[15]	115	Kangaskhan              	Normal    	105   	95	80
[16]	116	Horsea                  	Water     	30    	40	70
[17]	117	Seadra                  	Water     	55    	65	95
[18]	118	Goldeen                 	Water     	45    	67	60
[19]	119	Seaking                 	Water     	80    	92	65
[20]	120	Staryu                  	Water     	30    	45	55
[21]	121	Starmie                 	Water     	60    	75	85
[22]	122	Mr. Mime                	Psychic   	40    	45	65
[23]	123	Scyther                 	Bug       	70    	110	80
[24]	124	Jynx                    	Ice       	65    	50	35
[25]	125	Electabuzz              	Electric  	65    	83	57
[26]	126	Magmar                  	Fire      	65    	95	57
[27]	127	Pinsir                  	Bug       	65    	125	100
[28]	128	Tauros                  	Normal    	75    	100	95
[29]	129	Magikarp                	Water     	20    	10	55
[30]	130	Gyarados                	Water     	95    	125	79
[31]	131	Lapras                  	Water     	130   	85	80
[32]	132	Ditto                   	Normal    	48    	48	48
[33]	133	Eevee                   	Normal    	55    	55	50
[34]	134	Vaporeon                	Water     	130   	65	60
[35]	135	Jolteon                 	Electric  	65    	65	60
[36]	136	Flareon                 	Fire      	65    	130	60
[37]	137	Porygon                 	Normal    	65    	60	70
[38]	138	Omanyte                 	Rock      	35    	40	100
[39]	139	Omastar                 	Rock      	70    	60	125
[40]	140	Kabuto                  	Rock      	30    	80	90
[41]	141	Kabutops                	Rock      	60    	115	105
[42]	142	Aerodactyl              	Rock      	80    	105	65
[43]	143	Snorlax                 	Normal    	160   	110	65
[44]	144	Articuno                	Ice       	90    	85	100
[45]	145	Zapdos                  	Electric  	90    	90	85
[46]	146	Moltres                 	Fire      	90    	100	90
[47]	147	Dratini                 	Dragon    	41    	64	45
[48]	148	Dragonair               	Dragon    	61    	84	65
[49]	149	Dragonite               	Dragon    	91    	134	95
[50]	150	Mewtwo                  	Psychic   	106   	110	90
[51]	151	Mew                     	Psychic   	100   	100	100
[52]	152	Chikorita               	Grass     	45    	49	65
[53]	153	Bayleef                 	Grass     	60    	62	80
[54]	154	Meganium                	Grass     	80    	82	100
[55]	155	Cyndaquil               	Fire      	39    	52	43
[56]	156	Quilava                 	Fire      	58    	64	58
[57]	157	Typhlosion              	Fire      	78    	84	78
[58]	158	Totodile                	Water     	50    	65	64
[59]	159	Croconaw                	Water     	65    	80	80
[60]	160	Feraligatr              	Water     	85    	105	100
[61]	161	Sentret                 	Normal    	35    	46	34
[62]	162	Furret                  	Normal    	85    	76	64
[63]	163	Hoothoot                	Normal    	60    	30	30
[64]	164	Noctowl                 	Normal    	100   	50	50
[65]	165	Ledyba                  	Bug       	40    	20	30
[66]	166	Ledian                  	Bug       	55    	35	50
[67]	167	Spinarak                	Bug       	40    	60	40
[68]	168	Ariados                 	Bug       	70    	90	70
[69]	169	Crobat                  	Poison    	85    	90	80
[70]	170	Chinchou                	Water     	75    	38	38
[71]	171	Lanturn                 	Water     	125   	58	58
[72]	172	Pichu                   	Electric  	20    	40	15
[73]	173	Cleffa                  	Fairy     	50    	25	28
[74]	174	Igglybuff               	Normal    	90    	30	15
[75]	175	Togepi                  	Fairy     	35    	20	65
[76]	176	Togetic                 	Fairy     	55    	40	85
[77]	177	Natu                    	Psychic   	40    	50	45
[78]	178	Xatu                    	Psychic   	65    	75	70
[79]	179	Mareep                  	Electric  	55    	40	40
[80]	180	Flaaffy                 	Electric  	70    	55	55
[81]	181	Ampharos                	Electric  	90    	75	85
[82]	182	Bellossom               	Grass     	75    	80	95
[83]	183	Marill                  	Water     	70    	20	50
[84]	184	Azumarill               	Water     	100   	50	80
[85]	185	Sudowoodo               	Rock      	70    	100	115
[86]	186	Politoed                	Water     	90    	75	75
[87]	187	Hoppip                  	Grass     	35    	35	40
[88]	188	Skiploom                	Grass     	55    	45	50
[89]	189	Jumpluff                	Grass     	75    	55	70
[90]	190	Aipom                   	Normal    	55    	70	55
[91]	191	Sunkern                 	Grass     	30    	30	30
[92]	192	Sunflora                	Grass     	75    	75	55
[93]	193	Yanma                   	Bug       	65    	65	45
[94]	194	Wooper                  	Water     	55    	45	45
[95]	195	Quagsire                	Water     	95    	85	85
[96]	196	Espeon                  	Psychic   	65    	65	60
[97]	197	Umbreon                 	Dark      	95    	65	110
[98]	198	Murkrow                 	Dark      	60    	85	42
[99]	199	Slowking                	Water     	95    	75	80
[100]	200	Misdreavus              	Ghost     	60    	60	60
[101]	201	Unown                   	Psychic   	48    	72	48
[102]	202	Wobbuffet               	Psychic   	190   	33	58
[103]	203	Girafarig               	Normal    	70    	80	65
[104]	204	Pineco                  	Bug       	50    	65	90
[105]	205	Forretress              	Bug       	75    	90	140
[106]	206	Dunsparce               	Normal    	100   	70	70
[107]	207	Gligar                  	Ground    	65    	75	105
[108]	208	Steelix                 	Steel     	75    	85	200
[109]	209	Snubbull                	Fairy     	60    	80	50
[110]	210	Granbull                	Fairy     	90    	120	75
[111]	211	Qwilfish                	Water     	65    	95	75
[112]	212	Scizor                  	Bug       	70    	130	100
[113]	213	Shuckle                 	Bug       	20    	10	230
[114]	214	Heracross               	Bug       	80    	125	75
[115]	215	Sneasel                 	Dark      	55    	95	55
[116]	216	Teddiursa               	Normal    	60    	80	50
[117]	217	Ursaring                	Normal    	90    	130	75
[118]	218	Slugma                  	Fire      	40    	40	40
[119]	219	Magcargo                	Fire      	50    	50	120
[120]	220	Swinub                  	Ice       	50    	50	40
[121]	221	Piloswine               	Ice       	100   	100	80
[122]	222	Corsola                 	Water     	55    	55	85
[123]	223	Remoraid                	Water     	35    	65	35
[124]	224	Octillery               	Water     	75    	105	75
[125]	225	Delibird                	Ice       	45    	55	45
[126]	226	Mantine                 	Water     	65    	40	70
[127]	227	Skarmory                	Steel     	65    	80	140
[128]	228	Houndour                	Dark      	45    	60	30
[129]	229	Houndoom                	Dark      	75    	90	50
[130]	230	Kingdra                 	Water     	75    	95	95
[131]	231	Phanpy                  	Ground    	90    	60	60
[132]	232	Donphan                 	Ground    	90    	120	120
[133]	233	Porygon2                	Normal    	85    	80	90
[134]	234	Stantler                	Normal    	73    	95	62
[135]	235	Smeargle                	Normal    	55    	20	35
[136]	236	Tyrogue                 	Fighting  	35    	35	35
[137]	237	Hitmontop               	Fighting  	50    	95	95
[138]	238	Smoochum                	Ice       	45    	30	15
[139]	239	Elekid                  	Electric  	45    	63	37
[140]	240	Magby                   	Fire      	45    	75	37
